City,Country,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed
Lahore,Pakistan,2018-02-01,209.38,82.58,179.22,34.97,34.25,56.83,34.65,30.4,56.6,9.3
Seoul,South Korea,2018-12-13,142.95,52.97,58.52,21.86,17.1,30.96,33.82,18.0,81.4,0.6
Mexico City,Mexico,2018-08-30,150.36,63.61,62.88,25.71,21.39,50.97,37.57,48.7,64.1,5.1
Shanghai,China,2019-11-21,140.38,55.65,98.64,11.47,16.21,39.97,42.02,8.3,69.9,1.5
Seoul,South Korea,2025-02-20,137.8,61.1,127.54,19.0,14.81,31.15,28.4,29.0,81.2,6.0
Buenos Aires,Argentina,2015-06-11,60.0,26.66,74.64,8.23,3.54,18.52,24.15,24.3,73.1,9.0
London,UK,2022-09-08,51.81,41.46,85.05,7.03,6.91,21.89,20.38,26.9,57.0,3.7
Beijing,China,2021-09-23,120.85,44.98,49.45,29.59,10.58,31.96,21.25,1.6,75.8,9.7
Sao Paulo,Brazil,2025-10-23,77.67,21.88,47.79,2.31,0.0,23.64,7.45,29.2,74.5,4.0
Lahore,Pakistan,2022-10-13,200.98,78.14,173.88,18.2,31.82,42.1,33.5,14.2,95.0,1.9
Dhaka,Bangladesh,2016-08-25,152.53,56.65,105.74,23.19,20.94,37.18,27.58,23.9,52.1,8.4
Buenos Aires,Argentina,2017-09-21,77.89,34.98,71.7,16.08,13.22,14.46,23.62,26.3,59.1,7.0
Istanbul,Turkey,2016-06-30,89.92,43.33,96.92,17.19,12.43,35.22,14.35,19.8,77.4,2.4
Dhaka,Bangladesh,2017-06-01,204.64,82.42,135.24,25.93,15.1,63.18,38.51,21.6,72.4,10.9
New York,USA,2023-09-07,37.9,38.98,86.9,4.18,5.85,9.15,10.34,20.0,79.1,2.9
Delhi,India,2023-05-04,145.02,54.25,97.76,28.26,13.69,43.98,29.53,15.5,76.5,8.9
Mumbai,India,2024-10-17,115.35,56.13,128.92,19.33,22.75,30.24,17.96,27.2,67.1,7.1
Moscow,Russia,2019-04-04,78.32,41.5,84.31,14.64,6.89,19.64,30.52,17.4,48.8,10.6
Los Angeles,USA,2022-04-28,67.21,14.03,14.65,18.11,13.76,8.47,24.27,32.0,63.9,2.7
Tehran,Iran,2018-09-20,192.77,66.93,116.42,20.61,31.23,53.69,49.08,10.2,80.7,5.6
Los Angeles,USA,2017-09-14,50.09,27.61,17.96,14.85,22.4,13.77,9.52,15.1,40.5,5.5
Nairobi,Kenya,2021-12-02,160.57,77.64,174.27,35.28,31.58,51.65,29.76,32.9,74.3,2.9
Beijing,China,2016-06-23,200.74,66.11,105.52,39.42,32.0,59.58,40.07,14.7,53.4,3.4
Shanghai,China,2021-11-04,175.13,83.36,126.2,23.22,24.7,36.45,31.3,20.2,53.3,8.9
Los Angeles,USA,2015-09-17,64.31,29.33,36.84,7.22,16.2,24.74,15.15,0.6,54.3,11.7
Istanbul,Turkey,2016-10-13,105.01,42.49,92.2,19.91,16.18,29.26,20.68,28.4,73.0,11.7
Jakarta,Indonesia,2018-10-18,105.38,36.74,16.46,23.1,7.09,16.98,12.04,14.2,89.2,1.3
Paris,France,2021-10-21,53.52,2.08,37.28,7.29,6.22,1.01,11.96,29.9,80.5,7.4
Toronto,Canada,2017-11-30,88.47,32.9,62.79,12.02,4.95,20.91,24.76,23.8,47.5,4.0
Shanghai,China,2017-04-20,107.94,40.54,70.37,22.38,16.19,27.36,12.69,33.3,44.9,6.5
Cairo,Egypt,2024-10-10,85.86,27.61,78.0,21.55,16.05,25.33,15.8,0.3,71.5,2.1
Seoul,South Korea,2016-01-14,141.87,63.96,148.37,17.39,16.01,41.64,33.12,21.8,84.3,2.7
Tehran,Iran,2016-10-13,71.08,32.56,21.19,2.66,4.83,10.83,9.69,9.6,43.9,10.6
Jakarta,Indonesia,2021-08-26,149.17,55.88,124.41,26.29,24.3,43.49,25.04,15.7,83.5,2.5
Mumbai,India,2015-01-08,176.32,48.39,125.47,40.12,26.05,40.26,50.23,14.0,61.8,4.8
Lahore,Pakistan,2019-10-17,132.78,48.62,65.08,29.48,9.49,51.57,12.66,7.5,59.9,8.2
Los Angeles,USA,2022-07-14,46.83,25.3,45.69,5.63,5.73,12.24,6.77,21.5,65.3,3.9
Beijing,China,2024-08-15,210.25,88.09,170.07,21.23,33.44,61.62,31.68,22.2,47.1,5.5
Karachi,Pakistan,2015-08-20,147.05,39.36,65.17,25.91,16.8,38.41,35.94,21.1,52.4,6.7
Singapore,Singapore,2023-09-28,56.96,28.84,46.47,9.18,0.91,13.31,10.75,36.1,80.2,5.5
Singapore,Singapore,2025-04-24,75.22,29.27,66.87,12.66,10.3,11.77,19.13,40.8,83.2,13.7
Delhi,India,2018-03-01,203.78,70.42,133.93,36.34,34.32,68.83,31.88,22.1,63.0,9.0
Buenos Aires,Argentina,2018-11-08,76.74,56.84,90.74,10.31,14.66,12.0,4.45,0.2,65.1,2.6
Singapore,Singapore,2016-04-28,66.96,14.11,0.12,12.33,16.02,17.53,15.78,25.4,76.1,2.0
Dubai,UAE,2015-05-28,120.64,52.67,118.69,21.72,10.85,26.61,23.64,-3.1,90.1,5.8
Moscow,Russia,2023-04-13,96.79,51.2,106.54,10.99,11.11,35.58,13.7,17.8,71.8,4.3
Sydney,Australia,2015-09-10,38.3,5.85,14.68,0.0,14.45,0.0,9.26,21.5,65.9,10.3
Bangkok,Thailand,2020-03-19,86.6,57.78,128.38,17.72,13.27,20.01,24.21,15.7,72.5,11.5
London,UK,2019-12-19,78.82,31.0,33.64,14.94,12.55,6.22,22.9,17.2,49.2,5.0
Sydney,Australia,2024-10-31,58.7,19.7,51.83,0.0,15.09,12.06,10.83,10.0,63.2,2.1
Dhaka,Bangladesh,2025-07-17,213.73,90.85,185.83,31.58,29.16,68.52,49.66,23.1,94.6,4.6
Istanbul,Turkey,2024-08-29,117.62,62.43,125.5,16.68,12.35,26.98,29.01,23.4,66.0,6.3
Dhaka,Bangladesh,2020-11-26,256.11,98.5,173.48,36.51,40.18,81.89,51.39,-3.7,87.2,3.3
Karachi,Pakistan,2017-08-10,152.94,76.16,103.15,27.84,20.9,45.47,25.4,28.4,70.2,7.4
Lagos,Nigeria,2017-03-30,144.37,68.27,133.69,13.56,10.18,30.94,33.17,15.6,67.0,10.8
Toronto,Canada,2021-05-13,58.73,26.48,15.51,7.94,13.5,25.24,12.44,17.8,68.6,3.0
Lahore,Pakistan,2025-03-06,118.93,53.04,89.18,20.28,12.39,52.01,21.43,24.0,69.5,4.4
Delhi,India,2017-08-10,208.16,88.77,187.87,22.98,30.93,61.85,48.75,13.7,76.6,1.8
Sydney,Australia,2019-03-07,46.32,29.11,40.1,13.91,8.37,20.59,5.43,18.5,63.2,3.1
Mumbai,India,2018-05-03,171.07,71.98,123.67,37.42,16.62,51.5,42.42,3.0,89.6,11.5
Cape Town,South Africa,2015-04-16,79.87,31.63,70.03,11.28,13.25,28.92,7.71,31.0,62.5,3.1
Singapore,Singapore,2017-11-30,89.31,31.61,31.26,11.04,10.4,19.8,21.69,36.7,63.9,6.0
Lahore,Pakistan,2022-08-11,268.7,104.02,181.14,54.44,24.88,72.55,58.55,-6.8,87.9,6.7
Nairobi,Kenya,2018-03-01,70.2,26.16,73.95,24.33,8.64,20.22,12.84,21.5,83.5,4.3
Los Angeles,USA,2020-03-12,62.06,37.86,68.24,1.62,8.83,1.48,7.46,26.2,44.8,2.6
Dubai,UAE,2016-04-21,51.72,19.63,18.74,4.17,1.95,0.26,8.64,26.7,57.4,8.6
Seoul,South Korea,2018-02-01,123.98,51.79,118.42,25.42,18.87,33.4,20.73,19.7,56.7,2.6
Istanbul,Turkey,2021-08-05,113.66,62.5,85.64,10.19,10.02,52.37,14.55,18.3,46.5,4.1
Tehran,Iran,2019-08-29,156.01,39.36,98.27,24.08,18.68,42.64,35.75,24.3,47.8,4.3
Moscow,Russia,2016-01-21,107.46,52.97,113.09,14.01,10.69,14.7,24.81,15.4,24.8,1.3
Moscow,Russia,2022-05-12,91.43,59.77,102.95,12.78,22.41,28.45,7.07,43.4,66.1,3.4
Dhaka,Bangladesh,2021-08-26,162.52,66.58,120.49,36.89,28.86,43.52,36.78,19.9,65.2,3.1
Singapore,Singapore,2025-09-25,66.29,40.15,62.11,12.83,9.74,17.87,18.49,25.6,58.9,3.5
London,UK,2020-03-19,43.29,45.16,81.31,3.45,0.32,21.79,17.47,31.1,61.4,4.2
New York,USA,2022-01-06,75.26,33.75,48.43,15.17,6.25,25.99,6.68,7.7,63.2,4.7
Delhi,India,2019-08-22,260.67,120.21,203.03,41.5,32.54,77.04,57.66,13.2,70.5,5.1
Bangkok,Thailand,2016-02-04,185.57,88.49,164.42,24.22,21.81,55.05,47.99,15.2,77.1,3.4
Sydney,Australia,2019-06-06,52.37,14.26,63.92,10.32,2.53,24.11,2.62,11.0,57.3,2.2
Dubai,UAE,2024-05-23,100.16,51.55,67.33,12.48,14.32,28.97,22.66,41.4,95.0,4.6
Lagos,Nigeria,2015-07-30,160.55,68.63,165.85,19.34,18.24,45.47,34.3,0.1,84.6,9.4
Tokyo,Japan,2023-01-19,76.06,15.76,65.09,9.34,8.4,36.35,15.12,16.3,75.9,2.0
Mexico City,Mexico,2017-04-13,112.69,51.8,104.14,13.8,15.9,30.82,22.74,32.5,71.6,5.5
Istanbul,Turkey,2021-07-15,130.93,73.18,127.85,17.46,16.41,23.49,26.48,12.7,70.9,7.2
Delhi,India,2017-06-29,208.91,104.4,218.66,35.17,25.96,48.99,47.19,28.2,52.8,2.6
London,UK,2017-10-19,59.99,27.58,32.74,4.9,12.62,23.16,7.08,12.4,74.7,3.5
Lagos,Nigeria,2021-05-20,77.96,41.16,96.19,4.0,9.84,25.18,22.25,18.4,41.1,2.0
Bangkok,Thailand,2023-11-30,182.7,68.5,113.7,36.2,24.21,44.17,38.96,13.4,58.3,2.0
Delhi,India,2024-05-23,205.47,79.47,145.99,29.66,28.57,45.16,41.06,27.8,84.3,1.6
Nairobi,Kenya,2017-03-23,62.97,35.2,60.16,7.76,4.97,17.33,13.05,30.0,80.4,1.8
Seoul,South Korea,2024-03-14,71.98,37.98,33.91,10.64,3.52,22.44,0.0,14.2,51.8,5.1
London,UK,2025-04-17,54.76,32.29,77.18,0.0,19.89,26.38,9.45,29.2,63.0,8.7
Jakarta,Indonesia,2020-06-25,188.07,91.12,174.74,40.52,21.25,45.51,27.58,24.6,59.7,5.3
Los Angeles,USA,2020-12-03,116.43,29.51,62.8,13.7,12.32,31.4,20.55,15.2,43.3,4.1
Nairobi,Kenya,2018-05-17,107.92,56.51,99.83,10.06,16.21,4.08,21.49,,58.6,8.9
Mumbai,India,2023-09-07,90.57,14.96,0.0,8.42,18.63,27.91,6.69,25.2,67.1,12.6
Jakarta,Indonesia,2021-04-08,123.62,46.06,105.14,24.0,16.03,41.33,26.71,21.6,83.1,7.9
Dubai,UAE,2019-01-31,146.17,52.59,132.55,16.62,15.89,22.53,40.92,18.5,81.3,4.8
Cairo,Egypt,2023-03-16,199.79,65.28,123.9,33.81,23.44,46.12,38.88,26.2,54.9,2.9
Nairobi,Kenya,2023-06-08,121.09,55.78,142.66,5.55,16.22,23.5,20.46,21.5,56.3,3.8
Lahore,Pakistan,2018-10-18,182.12,78.08,175.41,28.26,23.67,64.11,38.89,25.9,74.6,3.1
Mumbai,India,2023-11-16,176.43,66.66,137.81,29.91,22.31,43.82,30.51,16.3,60.4,6.7
Dubai,UAE,2023-12-28,156.72,52.71,118.74,28.21,16.53,28.27,28.12,25.5,44.6,0.3
Los Angeles,USA,2021-03-18,83.75,37.81,94.98,16.68,5.87,22.96,11.62,23.8,64.8,4.8
Lagos,Nigeria,2023-02-02,113.51,58.16,98.12,5.97,15.9,30.65,9.51,15.8,83.8,2.6
Istanbul,Turkey,2019-12-12,163.31,90.6,155.23,29.06,23.55,46.49,20.59,22.3,88.2,8.0
Tehran,Iran,2015-10-22,159.6,61.07,125.83,27.39,21.42,39.18,26.85,20.7,95.0,5.3
Paris,France,2024-08-29,77.91,61.46,112.7,14.84,17.4,11.57,6.26,15.9,82.4,1.2
Los Angeles,USA,2015-05-28,78.42,35.88,79.04,11.81,18.43,44.83,19.84,22.3,74.4,1.8
Sao Paulo,Brazil,2018-03-15,101.17,33.88,80.68,16.28,15.34,34.46,14.33,15.1,87.1,6.6
Sao Paulo,Brazil,2016-07-14,59.99,34.42,56.57,4.83,0.4,3.55,8.27,18.6,83.7,4.0
Sydney,Australia,2024-02-08,49.49,11.03,,1.48,4.41,23.14,1.34,28.7,77.0,2.3
Berlin,Germany,2025-11-06,78.12,29.96,43.81,2.01,8.6,39.14,20.13,41.4,73.0,5.6
Sao Paulo,Brazil,2017-12-21,142.15,77.54,148.0,21.06,15.79,55.57,34.68,9.9,79.7,2.3
Berlin,Germany,2023-04-06,45.56,13.46,28.46,2.07,6.17,11.75,12.8,8.8,50.6,5.3
Tehran,Iran,2020-08-20,172.98,77.63,165.96,36.12,12.29,60.47,36.4,26.3,77.0,4.4
Singapore,Singapore,2025-08-21,91.65,37.18,55.85,10.62,18.1,22.55,23.92,20.3,66.2,3.0
Cape Town,South Africa,2022-11-24,109.7,39.27,75.02,19.11,13.03,25.37,18.69,18.9,65.5,5.3
Moscow,Russia,2016-04-28,78.66,35.53,69.64,12.7,8.77,15.69,7.38,8.8,55.9,8.1
Moscow,Russia,2021-01-07,154.35,71.65,115.27,29.58,21.85,39.82,22.14,7.7,57.2,4.0
Paris,France,2022-09-08,55.77,30.07,38.83,10.85,4.74,0.0,6.65,2.1,67.8,6.9
London,UK,2017-02-09,95.0,18.37,38.65,16.08,23.48,29.81,16.36,7.4,92.1,0.5
Sao Paulo,Brazil,2024-09-26,57.12,51.66,96.86,,0.0,25.28,9.36,13.7,64.6,11.0
Dhaka,Bangladesh,2023-07-20,170.31,61.71,101.18,34.88,15.52,41.72,29.17,25.1,73.2,0.6
Jakarta,Indonesia,2024-06-27,174.27,50.88,117.49,18.15,18.59,39.68,20.37,15.0,72.8,5.6
London,UK,2015-05-14,72.29,12.64,31.61,,6.25,22.01,14.17,11.9,52.1,1.2
Los Angeles,USA,2017-01-05,98.04,53.98,97.29,23.16,8.3,18.94,21.63,16.3,68.9,13.2
Singapore,Singapore,2021-12-30,129.59,50.21,64.71,21.59,26.91,37.99,28.84,24.8,45.3,2.1
Sydney,Australia,2015-06-04,53.25,19.21,5.14,0.62,5.51,3.36,19.72,24.9,52.9,8.8
Jakarta,Indonesia,2018-01-04,161.31,72.11,177.71,12.63,18.47,52.34,39.48,6.2,55.4,2.8
Moscow,Russia,2025-03-06,80.22,59.37,90.48,17.89,2.99,26.08,12.73,5.0,83.7,6.1
Delhi,India,2017-10-26,81.52,25.12,48.18,8.39,3.9,29.16,8.52,11.5,31.7,8.3
Karachi,Pakistan,2023-11-02,215.85,85.58,167.51,24.64,24.51,79.99,44.14,14.2,94.0,0.7
Sao Paulo,Brazil,2017-06-15,94.2,34.53,59.21,4.18,9.59,33.22,9.81,4.4,46.6,3.0
Sao Paulo,Brazil,2016-05-05,82.58,30.19,76.74,14.11,12.61,30.38,23.58,13.3,72.8,8.7
Cape Town,South Africa,2019-11-28,103.22,56.84,92.09,18.69,15.58,38.86,17.03,32.3,72.9,4.1
Delhi,India,2019-12-05,266.96,118.51,215.88,39.31,26.22,70.76,39.86,22.3,49.8,3.8
Shanghai,China,2018-02-01,228.6,92.61,187.11,35.86,21.62,59.04,27.53,17.2,54.7,3.4
Dubai,UAE,2025-05-08,126.75,57.27,88.33,21.19,14.05,38.32,20.29,26.0,56.1,9.5
Istanbul,Turkey,2022-09-15,137.03,59.59,88.48,21.32,6.08,26.02,25.59,,80.6,3.2
Beijing,China,2018-03-08,224.99,93.63,193.02,33.23,35.71,53.85,48.09,17.2,75.9,2.3
Berlin,Germany,2020-12-17,72.46,33.01,74.94,15.19,11.22,0.0,5.99,9.1,95.0,5.6
Berlin,Germany,2024-12-19,61.99,20.83,23.46,0.0,14.12,23.95,0.0,15.6,61.4,5.1
Shanghai,China,2018-02-08,207.01,85.27,152.55,39.78,27.89,45.31,42.0,22.8,80.8,5.4
Bangkok,Thailand,2025-08-21,146.62,59.82,105.92,19.65,14.98,41.45,28.19,18.6,44.8,3.0
Lahore,Pakistan,2023-08-31,205.0,99.87,194.62,38.26,21.2,52.4,28.2,16.3,30.4,6.5
Mexico City,Mexico,2024-05-16,107.24,35.14,100.67,10.6,5.12,32.05,33.64,29.4,53.8,4.7
Moscow,Russia,2020-02-13,141.88,82.52,161.47,29.71,28.5,29.11,45.15,29.7,82.4,2.6
Tokyo,Japan,2021-08-05,44.92,33.48,58.9,0.0,1.41,28.58,3.86,29.2,75.0,3.8
Mexico City,Mexico,2025-10-30,70.84,18.6,35.81,15.87,4.76,37.33,8.75,33.6,44.6,3.8
Buenos Aires,Argentina,2025-06-19,56.77,21.63,49.67,1.39,13.22,0.0,3.41,17.4,34.7,1.8
Nairobi,Kenya,2023-12-14,110.93,35.72,61.78,17.85,11.51,40.13,15.94,23.0,69.3,5.4
Jakarta,Indonesia,2017-08-17,217.18,82.38,153.54,35.48,27.56,51.8,42.0,5.2,88.0,11.0
Karachi,Pakistan,2018-08-09,183.37,93.06,194.75,21.68,26.28,47.15,36.74,6.2,55.6,1.9
Tokyo,Japan,2020-09-10,66.03,20.51,30.8,12.11,7.52,23.36,7.05,26.0,60.6,10.5
London,UK,2024-04-04,49.55,18.58,39.21,0.41,11.49,15.5,8.73,31.9,78.3,7.0
Istanbul,Turkey,2022-12-01,135.2,62.59,129.01,11.11,21.43,37.13,23.63,23.5,68.7,3.3
Mexico City,Mexico,2017-01-19,149.69,88.94,179.47,12.89,17.42,46.7,17.97,-4.2,54.1,2.4
Paris,France,2015-10-15,32.91,10.5,25.86,1.07,5.34,22.45,8.28,17.6,50.9,4.6
Paris,France,2016-11-24,81.67,22.21,48.29,18.78,13.71,29.33,10.89,15.4,73.9,4.5
Tehran,Iran,2015-12-10,249.76,114.07,246.53,48.26,25.75,77.62,42.81,14.2,58.1,6.8
Cairo,Egypt,2019-06-20,183.65,85.61,162.89,23.25,31.64,37.36,36.89,-1.9,47.1,0.8
Moscow,Russia,2023-01-26,147.5,67.46,106.36,26.71,24.22,47.49,19.6,0.0,60.6,3.0
Berlin,Germany,2023-11-30,70.97,42.12,95.04,12.98,10.08,15.69,15.53,19.9,43.6,4.6
Cape Town,South Africa,2018-01-04,85.68,28.8,45.58,16.56,9.54,18.76,30.13,14.5,75.0,5.6
Delhi,India,2025-02-06,270.93,102.79,187.44,45.15,35.05,72.54,40.21,11.4,76.7,4.4
Sydney,Australia,2018-07-05,41.38,32.78,71.41,10.47,0.0,24.18,16.62,6.2,72.0,2.9
Beijing,China,2016-07-21,180.69,74.81,127.27,32.27,25.06,53.08,27.74,26.7,53.5,3.0
Beijing,China,2016-02-25,236.26,104.23,173.48,29.59,26.13,65.68,47.82,16.3,94.0,8.1
Cape Town,South Africa,2023-06-29,68.9,24.92,37.37,10.98,1.34,21.11,20.07,31.0,75.1,2.4
Seoul,South Korea,2017-07-06,142.01,76.78,154.43,17.59,13.23,42.67,27.66,26.2,47.7,4.1
Jakarta,Indonesia,2018-02-22,255.64,98.51,205.85,39.26,26.61,74.62,46.63,24.2,70.3,5.5
Istanbul,Turkey,2020-12-03,152.64,48.69,48.92,30.56,14.48,44.42,35.28,30.4,50.2,2.3
Delhi,India,2025-07-10,220.98,76.08,140.26,38.17,41.76,69.23,39.9,19.7,48.8,2.0
Karachi,Pakistan,2016-04-28,144.81,66.22,134.19,18.2,32.43,38.74,15.7,35.8,75.9,5.7
Nairobi,Kenya,2022-04-21,138.56,42.09,93.57,19.17,26.8,35.47,34.57,45.1,72.3,2.5
Tokyo,Japan,2019-08-22,80.53,33.98,40.67,17.55,8.59,32.12,12.5,28.3,65.4,4.4
Toronto,Canada,2016-06-30,81.06,54.46,125.58,8.95,19.63,16.05,3.84,21.1,87.1,6.6
Mexico City,Mexico,2021-04-22,112.89,22.96,52.79,20.6,17.33,33.67,12.04,37.2,86.2,10.7
Jakarta,Indonesia,2019-05-30,106.51,37.47,74.99,19.78,9.1,16.94,10.42,32.8,58.0,2.7
Toronto,Canada,2015-10-01,54.21,36.72,,0.61,2.25,4.54,6.53,18.2,47.5,10.3
Seoul,South Korea,2017-11-23,100.24,51.93,82.5,11.38,13.87,34.15,25.7,30.8,54.4,1.8
Buenos Aires,Argentina,2023-08-17,79.77,12.53,30.31,13.7,14.67,29.29,19.02,17.4,55.9,4.2
Seoul,South Korea,2019-11-07,71.92,23.39,47.51,10.95,8.45,17.2,7.19,24.9,78.0,2.7
Cairo,Egypt,2016-01-14,212.49,84.04,159.0,29.18,33.71,51.99,38.1,16.9,59.7,6.8
Paris,France,2020-04-09,62.05,22.08,18.46,11.59,5.14,17.2,18.17,18.8,42.5,4.6
Cairo,Egypt,2021-09-02,105.77,50.89,123.13,21.07,18.59,42.83,23.16,28.2,66.3,12.6
Lagos,Nigeria,2015-04-16,148.12,66.94,116.7,16.22,18.6,46.57,28.65,9.3,62.5,3.7
Cairo,Egypt,2017-11-09,225.85,86.59,142.21,23.49,31.42,55.08,38.91,19.0,46.6,10.2
Seoul,South Korea,2025-09-25,88.39,50.93,91.61,20.56,13.66,12.32,23.64,12.1,72.0,1.3
Istanbul,Turkey,2023-09-07,74.14,4.65,1.75,9.79,14.76,31.24,23.22,25.9,49.1,4.1
Sao Paulo,Brazil,2020-04-30,60.57,22.5,58.16,3.71,0.0,0.0,11.76,14.4,79.9,3.8
Sao Paulo,Brazil,2017-01-19,165.96,101.91,205.5,28.66,8.11,34.61,22.93,23.6,63.0,2.7
Tehran,Iran,2025-05-01,154.5,64.5,118.93,22.98,12.39,55.3,43.22,9.9,69.8,3.5
Delhi,India,2015-03-26,179.46,66.63,118.01,25.99,28.28,44.97,31.46,27.2,56.5,5.7
Karachi,Pakistan,2015-11-05,253.43,124.84,223.07,43.17,30.27,62.66,59.23,25.6,84.4,1.6
Karachi,Pakistan,2024-01-18,209.66,91.48,172.47,39.43,23.47,47.79,32.13,19.6,40.2,0.8
Karachi,Pakistan,2024-03-14,64.07,17.48,23.72,10.51,9.99,24.06,7.51,5.4,62.9,7.6
Delhi,India,2024-05-09,177.55,71.25,118.3,26.99,18.91,38.1,38.6,29.7,88.5,1.7
Delhi,India,2018-10-04,157.89,52.42,105.96,27.79,20.45,51.57,27.44,5.1,55.3,2.3
Dubai,UAE,2020-07-23,82.62,40.73,85.61,18.68,12.58,9.55,14.77,22.0,73.0,6.2
Singapore,Singapore,2015-06-18,68.73,13.41,15.15,20.35,6.26,22.19,8.75,27.6,73.1,1.3
Beijing,China,2017-03-16,200.27,58.89,122.69,41.92,33.75,43.4,45.17,38.0,65.4,1.3
Jakarta,Indonesia,2016-11-03,146.53,75.41,146.67,28.56,14.86,42.96,17.98,37.1,34.8,3.4
Bangkok,Thailand,2019-05-30,89.16,38.44,56.84,15.8,21.95,31.39,17.76,12.6,60.4,8.6
Shanghai,China,2022-12-01,217.07,105.45,192.05,31.91,19.06,60.66,31.48,14.3,60.0,2.0
Los Angeles,USA,2016-03-31,105.32,23.78,65.18,15.83,8.98,16.39,16.84,14.8,67.2,14.2
Tokyo,Japan,2019-12-26,74.57,0.0,4.49,5.36,3.22,3.18,16.11,24.4,82.3,3.2
Delhi,India,2025-03-27,103.81,54.75,138.78,17.77,11.26,35.29,22.05,13.6,59.9,3.7
Karachi,Pakistan,2023-07-13,146.56,69.73,109.1,22.73,17.91,46.23,33.78,23.2,78.4,6.2
London,UK,2023-04-06,77.96,45.13,104.91,20.62,7.89,26.02,23.56,20.3,71.4,1.8
Seoul,South Korea,2021-05-27,83.59,19.29,50.59,10.24,13.65,15.85,13.25,13.9,59.3,5.0
Los Angeles,USA,2016-02-25,93.56,26.1,40.37,29.87,10.22,23.27,16.43,18.5,53.3,4.8
Toronto,Canada,2016-11-24,81.42,34.4,69.82,20.42,11.58,32.66,6.3,5.4,84.9,5.2
Bangkok,Thailand,2017-02-16,160.86,54.93,107.35,20.89,17.88,25.37,44.13,29.4,57.6,2.2
Tokyo,Japan,2020-12-10,70.89,28.8,40.56,8.18,8.49,1.62,3.58,18.4,75.9,5.0
Berlin,Germany,2024-02-01,72.79,33.41,82.27,6.3,1.38,28.0,2.65,4.1,51.8,7.1
Los Angeles,USA,2025-01-09,84.02,40.15,73.29,11.7,3.0,21.25,26.22,27.6,67.2,1.1
New York,USA,2021-08-12,66.3,42.7,87.92,15.33,11.41,17.9,17.31,29.6,59.0,9.9
Dubai,UAE,2023-12-14,171.94,80.06,162.59,31.79,20.43,49.89,41.2,38.0,45.3,2.5
Moscow,Russia,2024-11-21,125.63,37.23,74.63,22.94,14.07,28.15,14.09,,32.2,0.5
Dhaka,Bangladesh,2015-03-12,173.88,81.93,169.56,36.05,25.64,65.67,33.87,18.3,74.1,3.7
Buenos Aires,Argentina,2018-07-26,74.65,25.87,51.92,15.43,7.67,23.09,9.52,18.7,62.8,14.2
Sydney,Australia,2021-05-06,47.53,13.65,41.49,11.63,0.0,5.24,10.37,41.0,85.7,2.6
Paris,France,2017-12-07,98.02,46.09,96.34,19.47,21.06,24.6,3.1,32.6,42.9,3.1
Moscow,Russia,2015-07-16,115.92,54.79,122.14,13.38,11.8,26.48,21.42,20.6,69.9,13.1
Moscow,Russia,2023-12-07,166.13,85.19,145.1,25.89,26.72,34.23,24.77,23.2,77.9,3.5
Delhi,India,2016-09-15,203.53,73.49,139.48,28.46,32.67,49.28,20.09,15.5,55.0,3.7
Karachi,Pakistan,2016-08-04,150.42,83.39,129.26,36.86,23.36,44.3,17.92,3.6,64.5,3.8
Nairobi,Kenya,2020-08-13,77.17,43.44,56.39,9.48,0.2,28.44,13.12,18.1,74.5,7.3
Mumbai,India,2024-02-08,170.91,65.11,119.47,28.66,25.35,38.21,35.42,19.2,68.4,2.8
Tokyo,Japan,2015-01-22,91.05,40.26,74.33,13.76,15.77,21.42,21.97,36.1,71.9,3.6
Mexico City,Mexico,2019-12-05,170.78,59.53,142.07,31.74,23.57,42.55,26.92,22.4,74.1,8.5
Paris,France,2021-04-15,41.39,15.53,29.16,5.82,11.1,6.01,10.18,16.1,89.2,5.1
Dhaka,Bangladesh,2021-04-08,127.28,22.23,8.95,16.52,19.51,40.83,33.89,20.8,30.6,6.2
Jakarta,Indonesia,2025-10-16,108.33,44.66,113.73,25.32,17.87,40.34,25.2,19.5,63.1,2.6
Sao Paulo,Brazil,2025-01-09,122.18,61.13,108.43,28.07,18.71,43.47,20.23,16.3,88.3,2.0
Sao Paulo,Brazil,2021-09-30,70.89,29.86,43.32,14.95,4.57,4.55,15.08,16.9,40.5,5.2
Sao Paulo,Brazil,2018-03-08,69.18,32.86,45.5,4.88,6.21,21.59,11.67,15.7,75.1,5.8
Jakarta,Indonesia,2019-08-29,160.1,53.86,103.51,25.58,14.47,47.51,33.88,-1.9,63.9,9.1
Cape Town,South Africa,2025-07-31,70.74,21.77,40.23,19.91,0.0,16.02,8.78,28.7,65.6,2.0
Dubai,UAE,2016-04-14,64.19,28.12,80.86,9.41,9.64,23.41,2.54,15.1,66.9,1.1
Lagos,Nigeria,2022-04-07,163.39,62.04,138.48,29.45,22.09,32.27,26.43,39.4,80.1,2.3
Seoul,South Korea,2015-01-08,101.28,43.04,82.82,16.42,17.16,28.98,24.62,12.2,91.7,5.1
Tokyo,Japan,2023-05-11,46.72,39.75,43.28,14.4,10.85,21.53,12.44,,60.8,8.2
Delhi,India,2016-01-21,339.86,135.95,257.0,54.42,37.94,94.18,65.85,14.7,78.9,5.9
Sydney,Australia,2018-06-07,61.8,21.1,40.85,6.15,17.14,15.46,5.72,5.1,51.5,2.0
